emotion,response
stress,It sounds like you're feeling stressed. Try taking slow deep breaths for 2 minutes.
stress,Take a short break and relax your shoulders.
stress,Remember that pressure is temporary and you are capable.

anxiety,You're not alone. Ground yourself by noticing 5 things you can see.
anxiety,Try box breathing: inhale 4 sec, hold 4 sec, exhale 4 sec.
anxiety,Focus on the present moment. You are safe right now.

sadness,It's okay to feel sad sometimes. Talking to someone may help.
sadness,Allow yourself to feel your emotions without judging them.
sadness,Write your thoughts down and reflect gently.

lonely,Feeling lonely can be tough. Your feelings matter.
lonely,Consider reaching out to someone you trust.
lonely,Join a community or group with similar interests.

overwhelmed,Take one step at a time. Break tasks into smaller parts.
overwhelmed,Make a small to-do list and start with the easiest task.
overwhelmed,Pause and reset before continuing your work.

angry,Pause for a moment and take 5 deep breaths.
angry,Step away from the situation briefly.
angry,Physical movement like walking can help release anger.

fear,You're safe right now. Try focusing on something comforting.
fear,Name the fear and question if it is realistic.
fear,Take slow breaths and ground yourself.

happy,That's wonderful! Keep doing what makes you feel good.
happy,Celebrate small wins in your day.
happy,Spread positivity around you.

neutral,I'm here to listen. Tell me more about how you're feeling.
neutral,Thanks for sharing. I'm listening.
neutral,Would you like to tell me more?
