text,emotion
I feel stressed about my exams,stress
Too much workload is killing me,stress
I am under pressure from deadlines,stress
I feel anxious about tomorrow,anxiety
I am nervous before presentation,anxiety
I feel panic suddenly,anxiety
I feel very sad today,sadness
I am feeling low and depressed,sadness
I want to cry for no reason,sadness
I feel alone in this city,lonely
Nobody understands me,lonely
I have no friends here,lonely
I am very angry right now,angry
I feel frustrated at work,angry
I am irritated with everything,angry
I feel exhausted and tired,overwhelmed
I have too much work to handle,overwhelmed
I am completely burnt out,overwhelmed
I am scared about my future,fear
I am afraid of failure,fear
Everything is normal,neutral
I feel good today,neutral
I am happy and excited,happy
Today is a great day,happy
